Company,Ticker
Google,GOOG
Intel,INTC
Oracle,ORCL
HP,HPQ
Cisco,CSCO
AMD,AMD
Broadcom,BRCM
Red Hat,RHT
IBM,IBM
Symantec,SYMC
EMC,EMC
